customer id,customer name,date of birth,address,zip,phone,email,Gender
12737118,Roxane Campain,02-02-1985,"1048 Main St,Fairbanks,Fairbanks North Star,AK,US",869524,7125831193,roxane@hotmail.com,F
12199438,Lavera Perin,03-01-1980,"678 3rd Ave,Miami,Miami-Dade,FL,US",411249,9068081081,lperin@perin.org,M
12136217,Erick Ferencz,07-07-1991,"20 S Babcock St,Fairbanks,Fairbanks North Star,AK,US",769004,9943776241,erick.ferencz@aol.com,F
12529178,"Fatima 	Saylors",09-01-1984,"2 Lighthouse Ave,Hopkins,Hennepin,MN,US",583867,9079480066,fsaylors@saylors.org,F
12929561,"Jina 	Briddick",29-08-1994,"38938 Park Blvd,Boston,Suffolk,MA,US",831513,9344210536,jina_briddick@briddick.com,F
12674765,Kanisha Waycott,15-02-1994,"5 Tomahawk Dr,Los Angeles,Los Angeles,CA,US",223276,9744257584,kanisha_waycott@yahoo.com,F
12476730,Emerson Bowley,20-11-1995,"762 S Main St,Madison,Dane,WI,US",583795,7572207600,emerson.bowley@bowley.org,M
12407058,Blair Malet,05-10-1995,"209 Decker Dr,Philadelphia,Philadelphia,PA,US",994609,9724492037,bmalet@yahoo.com,M
12636225,Brock Bolognia,07-11-1978,"4486 W O St #1,New York,New York,NY,US",788433,7315118971,bbolognia@yahoo.com,M
12194097,Lorrie Nestle,28-04-1992,"39 S 7th St,Tullahoma,Coffee,TN,US",818547,7216421182,lnestle@hotmail.com,F
12642590,Amber Monarrez,09-04-1997,"14288 Foster Ave #4121,Jenkintown,Montgomery,PAUS",171125,9873402009,amber_monarrez@monarrez.org,M
12718241,"Shenika	 Seewald",14-06-1989,"4 Otis St,Van Nuys,Los Angeles,CA,US",418858,8528652306,shenika@gmail.com,F
12191409,Delmy Nestle,15-11-1998,"65895 S 16th St,Providence,Providence,RI,US",926072,8124318067,delmy.ahle@hotmail.com,F
12903688,Deeanna Juhas,20-04-1997,"14302 Pennsylvania Ave,Huntingdon Valley,Montgomery,PA,US",877363,8804656085,deeanna_juhas@gmail.com,F
12185613,Blondell Pugh,03-06-1982,"201 Hawk Ct,Providence,Providence,RI,US",603174,8184755591,bpugh@aol.com,M
12357045,Jamal Vanausdal,12-05-1984,"53075 Sw 152nd Ter #615,Monroe Township,Middlesex,NJ,US",800155,7233689051,jamal@vanausdal.org,M
